SetID,Job Code,Eff Date,Sal End Date,Salary SetID,Sal Plan,Grade,Step,Biweekly High Rate,Biweekly Low Rate,Union Code,Extended Step,Pay Type
COMMN,0109,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,00000,1,$0.00,$0.00,330,0,C
COMMN,0110,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,00000,1,$15.00,$15.00,323,0,D
COMMN,0111,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,00000,1,$25.00,$25.00,323,0,D
COMMN,0112,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,00000,1,$50.00,$50.00,323,0,D
COMMN,0114,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,00000,1,$100.00,$100.00,323,0,M
COMMN,0115,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,00000,1,$100.00,$100.00,323,0,D
COMMN,0116,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,00000,1,$200.00,$200.00,323,0,D
COMMN,0118,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,00000,1,$500.00,$500.00,323,0,M
COMMN,0119,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,00000,1,$0.00,$0.00,323,0, 
COMMN,0140,07/01/2009 12:00:00 AM,12/25/2009 12:00:00 AM,COMMN,SFM,0140F,1,$10630.00,$10630.00,352,0,B
COMMN,0150,07/01/2009 12:00:00 AM,12/25/2009 12:00:00 AM,COMMN,SFM,0150F,1,$9175.00,$9175.00,352,0,B
COMMN,0170,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,0170F,1,$4142.00,$4142.00,220,0,B
COMMN,0180,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,0180F,1,$5242.00,$5242.00,220,0,B
COMMN,0190,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,0190F,1,$3293.00,$3293.00,221,0,B
COMMN,0380,07/01/2009 12:00:00 AM,12/25/2009 12:00:00 AM,COMMN,SFM,0380F,1,$4496.00,$4496.00,911,0,B
COMMN,0381,07/01/2009 12:00:00 AM,12/25/2009 12:00:00 AM,COMMN,SFM,0381F,1,$4676.00,$4676.00,911,0,B
COMMN,0382,07/01/2009 12:00:00 AM,12/25/2009 12:00:00 AM,COMMN,SFM,0382F,1,$4762.00,$4762.00,911,0,B
COMMN,0390,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,0390F,1,$11255.00,$11255.00,353,0,B
COMMN,0395,07/01/2009 12:00:00 AM,06/30/2010 12:00:00 AM,COMMN,SFM,0395F,1,$10376.00,$10376.00,353,0,B
